,Tweet,Compound Score,Sentiment
0,"@thesheetztweetz Their attempt to bait and switch satellite spectrum for cellular spectrum is super shady and unethical. 

If they are successful, it would hurt the least served and completely unserved of the world. Very messed up.",-0.1761,NEGATIVE
1,@SawyerMerritt Hardly anyone knows this,0.0,NEGATIVE
2,@alex_avoigt @WholeMarsBlog Probably only a few months,0.0,NEGATIVE
3,@business Twitter me &amp; real-life me are quite different haha! https://t.co/zedimZrthW,0.553,POSITIVE
4,@BloombergLive @Twitter The vote of confidence is much appreciated,0.765,POSITIVE
5,https://t.co/YhpHKcCYXz,0.0,NEGATIVE
6,@Degentraland Artificial Insemination?,0.0,NEGATIVE
7,AI gets better every day https://t.co/Lz5XfXRJjh,0.4404,POSITIVE
8,Some great suggestions in the comments!,0.6588,POSITIVE
9,"But sometimes they’re out of stock
https://t.co/ybRiBp1kkP",0.0,NEGATIVE
10,@marenkahnert That was the largest wheel of cheese in the Beverly Hills Cheese Shop!,0.0,NEGATIVE
11,"@teslaownersSV I love many cheeses, so hard to say that a particular one is best, but maybe Stilton",0.5813,POSITIVE
12,The sheer variety of cheese is amazing,0.5859,POSITIVE
13,What … is your favorite cheese?,0.4588,POSITIVE
14,@teslaownersSV cgi irl,0.0,NEGATIVE
15,@Andst7 Trending to emptiness,-0.4404,NEGATIVE
16,@waitbutwhy Could be a contributor,0.0,NEGATIVE
17,@teslaownersSV @SpaceX Super talented team at SpaceX,0.802,POSITIVE
18,@jmhorp @paulg Interesting,0.4019,POSITIVE
19,@ilyasut Maybe we’re in a computer,0.0,NEGATIVE
20,@waitbutwhy @BillyM2k 🤣,0.0,NEGATIVE
21,@AltcoinGordon I am,0.0,NEGATIVE
22,I will keep supporting Dogecoin,0.4404,POSITIVE
23,💕💕 shadow crew 💕💕,0.0,NEGATIVE
24,@BillyM2k I feel swindled every time I drink one,0.0,NEGATIVE
25,@EvaFoxU Gwynne is the best,0.6369,POSITIVE
26,@VladimirVargasM He did teach me a lot of engineering &amp; physics while growing up (in an environment that was austere &amp; often bleak),0.1779,POSITIVE
27,I love all my kids so much,0.6369,POSITIVE
28,@zebulgar 💯👍,0.0,NEGATIVE
29,"@Liv_Boeree Eventually, everything runs out of time.
https://t.co/j4ZHlahNXC",0.0,NEGATIVE
30,Happy Father’s Day,0.5719,POSITIVE
31,"If you can’t smell your wifi, how do you know it’s real?",0.0,NEGATIVE
32,Congrats to SpaceX Falcon team for executing 3 flawless launches in 2 days! https://t.co/2MFmlkXmVz,0.7901,POSITIVE
33,@BillyM2k @CryptoWhale Good question,0.4404,POSITIVE
34,To answer the question: Why Twitter?,0.0,NEGATIVE
35,This will encourage people to change it haha,0.743,POSITIVE
36,I’m pretty sure that unique,0.6705,POSITIVE
37,We’re changing Starlink’s default wifi name to Stinky,-0.3612,NEGATIVE
38,"This is where 
the writers are,

Of past,
Present,
And Future.",0.0,NEGATIVE
39,"@BillyM2k The only thing keeping the other orbital rocket programs alive is government protection or they’d be deader than a doornail and everyone knows it. 

But oh well … comme ci, comme ça.",0.5346,POSITIVE
40,@BillyM2k The super weird thing is that Falcon 9 is still the only orbital booster to land or refly after all these years!,0.5411,POSITIVE
41,@Adam_4T @Google 🤣,0.0,NEGATIVE
42,Feels like déjà vu all over again haha https://t.co/ZokV7kPBV1,0.6705,POSITIVE
43,"@Erdayastronaut @IzanRamos2002 @Caspar_Stanley Yes, about 20% more thrust &amp; 20% less mass, but focus has been heavily on production rate &amp; reliability.

Mass, thrust &amp; Isp will all improve, as will production rate, reliability &amp; cost.

This is the only way to make life multi-planetary and extend consciousness into the void.",0.775,POSITIVE
44,@WholeMarsBlog 🤣,0.0,NEGATIVE
45,@BillyM2k More currency-like,0.0,NEGATIVE
46,"@BillyM2k Tesla and SpaceX merch, maybe more down the road",0.0,NEGATIVE
47,@dennis_wilborn Rock on!,0.0,NEGATIVE
48,@TeslaAIBot @__SeriousGemini But we should have humans too!,0.0,NEGATIVE
49,@nichegamer 🤣,0.0,NEGATIVE
50,Congratulations to Giga Berlin team on making over 1000 cars in a week! https://t.co/TX8S4ozuxJ,0.636,POSITIVE
51,@EvaFoxU 🤣👍💯,0.0,NEGATIVE
52,"@blueskykites @Tesla @SpaceX @mayemusk @WholeMarsBlog @28delayslater @JohnnaCrider1 @Kristennetten @SirineAti @GailAlfarATX @DimaZeniuk @bevedoni @RationalEtienne @ashleevance @adamhoov @klwtts @RenataKonkoly For a couple of months, but, yeah, that looks like the place. Does Mark still live there?",0.7227,POSITIVE
53,@EvaFoxU @BillyM2k I’m a dirty rocket,-0.4404,NEGATIVE
54,"It may as be a documentary, since it’s coming true",0.4215,POSITIVE
55,"Watch the opening scene of Idiocracy. 

When I ask my friends why they’re not yet having kids (very few are), it sounds exactly like the movie.

https://t.co/528L1mhHi1",0.6808,POSITIVE
56,"@BigImpactHumans My son (SJM) wanted to know why we couldn’t have 20,000 cats. Perhaps this will make him reconsider.",0.0,NEGATIVE
57,Or perhaps social media in general,0.0,NEGATIVE
58,@rabois Hmm …,0.0,NEGATIVE
59,Is TikTok destroying civilization? Some people think so.,-0.5574,NEGATIVE
60,@EvaFoxU Interesting,0.4019,POSITIVE
61,@WholeMarsBlog Lame,-0.4215,NEGATIVE
62,https://t.co/oD5D5CVe5A,0.0,NEGATIVE
63,@BillyM2k @Austen 🤣🤣,0.0,NEGATIVE
64,@PPathole Yeah,0.296,POSITIVE
65,@RenataKonkoly @SawyerMerritt So much free advertising! 🤣🤣,0.5954,POSITIVE
66,@SawyerMerritt Hyundai is doing pretty well,0.6486,POSITIVE
67,@PPathole Exactly,0.0,NEGATIVE
68,And rocket landings are now triple digits,0.0,NEGATIVE
69,"Our best landing video to date, thanks to Starlink! https://t.co/kAjA3mxBta",0.8122,POSITIVE
70,@teslaownersSV @UAW @GM @klwtts Yup,0.0,NEGATIVE
71,@westcoastbill Yeah,0.296,POSITIVE
72,RT @SpaceX: Watch Falcon 9 launch 53 Starlink satellites to low-Earth orbit → https://t.co/FHNtCC2xqJ  https://t.co/2GBQjLMNTt,0.0,NEGATIVE
73,RT @SpaceX: Liftoff! https://t.co/28eNKniMqe,0.0,NEGATIVE
74,@Model3Owners Ok,0.296,POSITIVE
75,@jespow @krakenfx Good thread,0.4404,POSITIVE
76,@DegreaseNeil That’s why Dragon has shields,0.0,NEGATIVE
77,"@teslaownersSV @ID_AA_Carmack There will probably be several launch countdowns before we pass all the abort triggers, but hopefully first countdown is next month",0.5499,POSITIVE
78,"@ID_AA_Carmack Yes, but it is achievable",0.5859,POSITIVE
79,@__SeriousGemini @BillyM2k 🤣,0.0,NEGATIVE
80,@BillyM2k @__SeriousGemini @bennyjohnson Accurate,0.0,NEGATIVE
81,@EvaFoxU Exactly,0.0,NEGATIVE
82,@Cernovich Wow,0.5859,POSITIVE
83,@Andst7 Haha,0.4588,POSITIVE
84,@bennyjohnson Interesting,0.4019,POSITIVE
85,@lexfridman True,0.4215,POSITIVE
86,@GregScott_photo @FarryFaz @SpaceX @MarcusHouse @LabPadre @13ericralph31 @spaceflashnews @spacex360 @SpaceIntellige3 @DJSnM @Erdayastronaut @ScalesNews SpaceX team is making great progress at the Cape &amp; Starbase!,0.8016,POSITIVE
87,@sourpatchlyds @Twitter Exactly,0.0,NEGATIVE
88,@BillyM2k @Rainmaker1973 💯,0.0,NEGATIVE
89,@alex_avoigt @Kaih042018 @klwtts True (sigh),0.4215,POSITIVE
90,"@dogeofficialceo @BillyM2k Also, In Sink band should let in a tiny sink",0.0,NEGATIVE
91,@ashleevance 🤣,0.0,NEGATIVE
92,@MatchasmMatt @EvaFoxU So it goes,0.0,NEGATIVE
93,@EvaFoxU Good thread,0.4404,POSITIVE
94,"@PPathole @paulg Awe no, I’m busted!",-0.3595,NEGATIVE
95,@joeydillon The Austin airport needs to be upgraded as fast as possible,0.0,NEGATIVE
96,@PPathole @teslaownersSV Have kids!,0.0,NEGATIVE
97,@BillyM2k @dogeofficialceo 🤣🤣,0.0,NEGATIVE
98,@BillyM2k Haha 💯,0.4588,POSITIVE
99,"@teslaownersSV It’s a bigger risk than AI, so I’d put it at #1. If these trends continue, humanity will cease to exist.",-0.2732,NEGATIVE
